"","CAUSE_NAME","STATE","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"1","Alzheimer's disease","Alabama",10.2764164732181,10.8785167618842,0.621573076195878,1.0792411008787,1.45583620556613,1.88133140376266,2.54631375210517,2.24326684129223,2.59727211072317,2.55588691987282,2.59193785324801,2.55881847844754,2.38066347950591,1.99743979904838,2.26688668271702
"2","Alzheimer's disease","Alaska",4.30375505246183,9.09875052369569,7.91612701531866,9.26172737005397,10.3586573340827,9.13117963778757,9.7155692053815,11.3199300699301,10.274149292934,10.550438692217,9.60727036676404,9.37891499943055,9.07039268402771,0.129318307777573,10.4835782979496
"3","Alzheimer's disease","Arizona",11.755845323741,0.301924770411373,0.658291336114393,2.0493393276889,3.01095305185657,2.89848477954225,3.17747847583326,3.75328196961219,4.33127082341742,4.35197650226411,5.01468262932008,4.2600993735148,4.77361734645143,4.99274231095774,5.36728386909321
"4","Alzheimer's disease","Arkansas",8.46413095811266,8.03476981097365,8.2007567124037,8.78153468815697,8.78598795840175,9.37424868314646,9.42908754831121,10.1886632287091,10.1172959754632,10.245835026412,10.2972246723144,10.6407322654462,0.0176460208223046,10.1442412044437,10.069430746775
"5","Alzheimer's disease","California",7.59568369583544,7.14903720396789,7.43996695970264,8.37835556305926,8.98208469055375,9.28720830086536,10.7383757532152,10.8280113042124,10.9968160666177,0.0739790885776287,11.6518102784197,0.611373216828118,0.978792822185971,1.01288887697955,1.05954103783337
"6","Alzheimer's disease","Colorado",10.5308674827036,10.1007434780696,10.521054870268,10.6645362176336,10.2025990798289,10.3377541279932,0.361804137441179,0.328106261172584,0.606675638112467,1.59464804140194,1.45248334598195,1.50810101950167,1.34715025906736,1.56920298035674,1.51023131672598
"7","Alzheimer's disease","Connecticut",8.00813098934483,7.55279984499128,8.54563983112535,7.96551255412937,9.01086310786727,9.41806722689076,9.88097448274439,9.66548929981301,10.1198062707112,10.3698393286383,10.1581714867272,10.306053432533,10.0115311753562,10.3412073490814,10.1740127123059
"8","Alzheimer's disease","Delaware",0.503193342365009,0.64480655803259,2.04918032786885,1.42612801426128,2.64289257564901,2.58945161751394,3.26709329740653,3.71623231216351,3.94401738358373,4.23709991856477,3.07877053578272,4.54318022615831,4.2395191734552,4.52331944374718,3.70353159851301
"9","Alzheimer's disease","District of Columbia",10.7136988552336,13.180691345645,12.2298999329805,0.501460296467736,12.8200696313489,1.1176374612498,0.811133642601183,1.15535816102992,2.62919594067135,2.00895452959646,13.3209561383152,0.899425441658165,1.16656742272506,1.56265803580459,1.58761318185164
"10","Alzheimer's disease","Florida",6.36999275074246,7.52154609558631,7.75887794688153,9.38570831592144,8.40733451735228,8.37785390862701,6.90847599323593,7.74761894750121,7.6578650039754,8.59299041622297,8.48542694850545,8.58864776919728,8.18492370758369,9.0612577718887,9.44068838352797
"11","Alzheimer's disease","Georgia",0.527050886763117,1.24635641773043,2.15006150061501,2.50779189642772,2.77835372174995,3.15413373716341,3.21756301544895,3.3835102489019,3.42321537730082,3.65089848999021,3.88869159352646,4.97148664671673,5.31821153463517,4.84888741281966,4.61435457953937
"12","Alzheimer's disease","Hawaii",0.545119879176893,1.07521071968878,1.24980140867447,2.17292320145705,3.50117899889562,3.72191796132782,4.54791862820622,4.49689639555638,6.6515893178016,5.68625023215502,5.73886613605337,4.20746015049761,4.34162196443199,6.4622613453875,6.35299339732564
"13","Alzheimer's disease","Idaho",3.77949918933525,4.63838692799936,4.92028794331587,5.75494038869835,5.48421807747489,6.85952123623152,7.19517908095907,8.15677447766306,7.2854015684441,6.9803888347664,6.63167436075803,7.76659038901602,7.41162307102988,6.74366122394796,7.16633323806802
"14","Alzheimer's disease","Illinois",3.7799043062201,3.87137989778535,4.30658140028789,4.75363124609076,4.83776428720955,4.82869333783955,5.15991382881763,5.19538188277087,5.12116179038371,5.84110221928884,5.44030978064296,5.60182987354883,6.11833364964889,6.00930718457667,6.86625792924065
"15","Alzheimer's disease","Indiana",0.731813482779259,1.17135986347064,1.25881686660145,2.43312679461992,2.56422998558863,2.77079365079365,3.0038124377747,3.19242195490187,3.13140400859699,3.94560107454668,3.78023580892184,3.86096691625003,4.05730712599621,3.49643221202854,4.45888527868033
"16","Alzheimer's disease","Iowa",11.5763858964285,10.5951587830335,10.9478276196351,10.9264581937631,12.2557986390576,11.3906708709362,0.492799387589111,0.695364238410596,1.03100080215165,1.57545052552052,1.31213373491163,1.98366125877344,1.93397723665714,1.60198404718815,1.13895702250187
"17","Alzheimer's disease","Kansas",10.0352342424638,10.8965935509957,10.7257309076567,11.4075569656764,11.5610696217779,11.7399542311573,12.3152113425758,11.718693936132,11.9759611903555,12.2252136251902,11.7316132786925,11.9171363736183,11.2402739598379,11.3255507437394,10.7161562108619
"18","Alzheimer's disease","Kentucky",11.715818369557,12.0235104748433,12.6724763979666,0.102145045965271,0.495828112920854,11.0724394590628,0.888637764536676,0.81116899734942,0.862539137460863,1.73213192196658,1.63390798287032,2.05121533424402,1.80949987434029,2.41843702579666,1.99086023780307
"19","Alzheimer's disease","Louisiana",10.3785613278624,9.93353103589324,10.5878050267184,0.611842105263158,0.975503485670023,1.36256209906912,1.9341218133527,1.48504966804772,1.49679411575494,1.88202724689769,1.79044099285821,1.57143567556815,1.86603080154008,2.01240986080832,2.39725221728186
